File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF981ITN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR906PEI	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001184	HEK293T	cell line	Homo sapiens										SP1-human	DNA						2017-05-18	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF636ORI/, /files/ENCFF572QFF/, /files/ENCFF286NIW/, /files/ENCFF929XVY/	17974	ENCODE Processing Pipeline	68926b352d645e2dd0e378a117ae7e8a		https://www.encodeproject.org/files/ENCFF981ITN/@@download/ENCFF981ITN.bed.gz				released	s3://encode-public/2020/12/01/a0ff0d73-d2ab-4ac2-9222-74ae9e42799b/ENCFF981ITN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/a0ff0d73-d2ab-4ac2-9222-74ae9e42799b/ENCFF981ITN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released			
ENCFF895VSP	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR906PEI	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001184	HEK293T	cell line	Homo sapiens										SP1-human	DNA						2017-05-18	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF981ITN/	84942	ENCODE Processing Pipeline	0634890cdfbe5ddf6922a8672036b62a		https://www.encodeproject.org/files/ENCFF895VSP/@@download/ENCFF895VSP.bigBed				released	s3://encode-public/2020/12/01/068f2c77-c1a4-4aa0-b54e-d66ea8c9a126/ENCFF895VSP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/068f2c77-c1a4-4aa0-b54e-d66ea8c9a126/ENCFF895VSP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released			
ENCFF245YDW	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR887LYD	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										SMARCC2-human	DNA						2017-06-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF795QXV/	109049	ENCODE Processing Pipeline	6f919ece2e6d3c617011e8108d8b87cb		https://www.encodeproject.org/files/ENCFF245YDW/@@download/ENCFF245YDW.bigBed				released	s3://encode-public/2020/12/03/a52d2023-0472-4f2a-a622-af0f3b958bbc/ENCFF245YDW.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/a52d2023-0472-4f2a-a622-af0f3b958bbc/ENCFF245YDW.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF795QXV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR887LYD	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										SMARCC2-human	DNA						2017-06-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF058VRY/, /files/ENCFF356LFX/, /files/ENCFF665KHZ/, /files/ENCFF908PJR/, /files/ENCFF903ECJ/	32541	ENCODE Processing Pipeline	ba92464536a3b9e52f55e7e520c9c180		https://www.encodeproject.org/files/ENCFF795QXV/@@download/ENCFF795QXV.bed.gz				released	s3://encode-public/2020/12/03/6261d24c-e778-41a2-9d35-dd0dfc30b5f7/ENCFF795QXV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/6261d24c-e778-41a2-9d35-dd0dfc30b5f7/ENCFF795QXV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, mild to moderate bottlenecking		
ENCFF242YCZ	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR894SXR	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TCF12-human	DNA						2017-06-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF429ZSH/	57342	ENCODE Processing Pipeline	2c644120b4654ac5c3ea7ff55d9e54ed		https://www.encodeproject.org/files/ENCFF242YCZ/@@download/ENCFF242YCZ.bigBed				released	s3://encode-public/2020/12/03/a9aacc3a-a0bc-4ffc-8409-e53c789ba7a5/ENCFF242YCZ.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/a9aacc3a-a0bc-4ffc-8409-e53c789ba7a5/ENCFF242YCZ.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF429ZSH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR894SXR	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										TCF12-human	DNA						2017-06-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF150VUW/, /files/ENCFF665KHZ/, /files/ENCFF356LFX/, /files/ENCFF058VRY/, /files/ENCFF992PWX/	1895	ENCODE Processing Pipeline	07c372391ad1dfb88388e38a7aa2da6b		https://www.encodeproject.org/files/ENCFF429ZSH/@@download/ENCFF429ZSH.bed.gz				released	s3://encode-public/2020/12/03/cb3b8762-091d-461a-a2f6-72a9ee0dc6f4/ENCFF429ZSH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/cb3b8762-091d-461a-a2f6-72a9ee0dc6f4/ENCFF429ZSH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF480WCB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR481FEC	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'dbxrefs': ['FactorBook:ZBTB8A'], 'aliases': ['michael-snyder:TS-531'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/653121/'], '@type': ['Target', 'Item'], 'label': 'ZBTB8A', 'title': 'ZBTB8A (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '4de96f9c-e7db-45f9-9741-34874d69874e', 'schema_version': '14', 'name': 'ZBTB8A-human', '@id': '/targets/ZBTB8A-human/', 'status': 'released'}				ZBTB8A-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF451CVJ/, /files/ENCFF490JCT/, /files/ENCFF482RWP/, /files/ENCFF919EDN/, /files/ENCFF585IQN/, /files/ENCFF528DFI/, /files/ENCFF785BTW/, /files/ENCFF705BZZ/, /files/ENCFF949NGG/, /files/ENCFF736OSY/, /files/ENCFF654JHZ/, /files/ENCFF847EHD/, /files/ENCFF709TVD/, /files/ENCFF065LBX/, /files/ENCFF928CJD/, /files/ENCFF500XPF/, /files/ENCFF856XMU/, /files/ENCFF356LFX/, /files/ENCFF800IMV/, /files/ENCFF926VAQ/, /files/ENCFF383QIP/, /files/ENCFF425NTG/, /files/ENCFF190AZK/, /files/ENCFF533HJT/, /files/ENCFF112FYN/, /files/ENCFF489ERC/, /files/ENCFF905YEA/	758152	ENCODE Processing Pipeline	33ddf10cf7a552cf3535dd6f1047df99		https://www.encodeproject.org/files/ENCFF480WCB/@@download/ENCFF480WCB.bed.gz				released	s3://encode-public/2020/08/05/d7a2ab9c-9c48-42e7-b09a-ec65fbba082e/ENCFF480WCB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/08/05/d7a2ab9c-9c48-42e7-b09a-ec65fbba082e/ENCFF480WCB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	missing biosample characterization, missing genetic modification characterization		
ENCFF303WRD	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR481FEC	TF ChIP-seq	/human-donors/ENCDO000ABF/	EFO:0001182	HEK293	cell line	Homo sapiens				site-specific recombination	insertion	{'dbxrefs': ['FactorBook:ZBTB8A'], 'aliases': ['michael-snyder:TS-531'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/653121/'], '@type': ['Target', 'Item'], 'label': 'ZBTB8A', 'title': 'ZBTB8A (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '4de96f9c-e7db-45f9-9741-34874d69874e', 'schema_version': '14', 'name': 'ZBTB8A-human', '@id': '/targets/ZBTB8A-human/', 'status': 'released'}				ZBTB8A-human	DNA				formaldehyde		2016-10-07	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF480WCB/	1707409	ENCODE Processing Pipeline	ded5876b6b3b31a1852fa260069cc772		https://www.encodeproject.org/files/ENCFF303WRD/@@download/ENCFF303WRD.bigBed				released	s3://encode-public/2020/08/05/256ce3d1-e48b-4d6b-89bf-1bc011fbc986/ENCFF303WRD.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/08/05/256ce3d1-e48b-4d6b-89bf-1bc011fbc986/ENCFF303WRD.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 GRCh38	released	missing biosample characterization, missing genetic modification characterization		
ENCFF084YZE	bigBed narrowPeak	bigBed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR339JTP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RBM39-human	DNA			SDS	formaldehyde		2018-03-06	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF420ALF/	1236703	ENCODE Processing Pipeline	f13e4ce8e34c432aca1551bc535e06b5		https://www.encodeproject.org/files/ENCFF084YZE/@@download/ENCFF084YZE.bigBed				released	s3://encode-public/2018/03/05/f987c658-d9bb-4c3a-9b52-1b08160db158/ENCFF084YZE.bigBed	https://datasetencode.blob.core.windows.net/dataset/2018/03/05/f987c658-d9bb-4c3a-9b52-1b08160db158/ENCFF084YZE.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, antibody characterized with exemption	poor library complexity, severe bottlenecking	
ENCFF420ALF	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR339JTP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										RBM39-human	DNA			SDS	formaldehyde		2018-03-06	ENCODE			200-400	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF650BJE/, /files/ENCFF948VIO/, /files/ENCFF464APE/	588737	ENCODE Processing Pipeline	816a62c9345d0d6c0e22c6c07bb30986		https://www.encodeproject.org/files/ENCFF420ALF/@@download/ENCFF420ALF.bed.gz				released	s3://encode-public/2018/03/05/ef0ce41e-7cbe-4b0c-8606-ea2df49d9722/ENCFF420ALF.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2018/03/05/ef0ce41e-7cbe-4b0c-8606-ea2df49d9722/ENCFF420ALF.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, antibody characterized with exemption	poor library complexity, severe bottlenecking	
