study,control,rlsample,tissue,rep,eff_genome_size,bamloc
ERP120322,ERX3974966,ERX3974967,786-O_ERP120322,ERX3974967_ERX3974968,2815435213,/path/to/bamfiles/ERX3974967_ERX3974968/ERX3974967/ERX3974967_hg38.bam
ERP120322,ERX3974966,ERX3974968,786-O_ERP120322,ERX3974967_ERX3974968,2815435213,/path/to/bamfiles/ERX3974967_ERX3974968/ERX3974968/ERX3974968_hg38.bam
ERP120322,ERX3974980,ERX3974981,H1299_ERP120322,ERX3974981_ERX3974982,2815435213,/path/to/bamfiles/ERX3974980_82/ERX3974981/ERX3974981_hg38.bam
ERP120322,ERX3974980,ERX3974982,H1299_ERP120322,ERX3974981_ERX3974982,2815435213,/path/to/bamfiles/ERX3974980_82/ERX3974982/ERX3974982_hg38.bam
SRP020088,SRX255720,SRX255721,NT2_SRP020088_res_enz1,,2564553930,/path/to/bamfiles/SRX255720_24/SRX255721/SRX255721_hg38.bam
SRP020088,SRX255722,SRX255723,NT2_SRP020088_res_enz2,SRX255723_SRX255724,2564553930,/path/to/bamfiles/SRX255720_24/SRX255723/SRX255723_hg38.bam
SRP020088,SRX255722,SRX255724,NT2_SRP020088_res_enz2,SRX255723_SRX255724,2564553930,/path/to/bamfiles/SRX255720_24/SRX255724/SRX255724_hg38.bam
SRP041718,SRX534093,SRX550078,Fib_NHDF_SRP041718,,2706186140,/path/to/bamfiles/SRX550078_SRX5696400/SRX550078/SRX550078_hg38.bam
SRP041718,SRX534093,SRX534094,Fib_skin_SRP041718,,2815435213,/path/to/bamfiles/SRX534093_94/SRX534094/SRX534094_hg38.bam
SRP058311,SRX1025901,SRX1025898,CHLA10_SRP058311,,2706186140,/path/to/bamfiles/SRX1025890_SRX1025893_SRX1025894_SRX1025897_SRX1025898_SRX1025901/SRX1025898/SRX1025898_hg38.bam
SRP058311,SRX1025897,SRX1025894,EWS502_SRP058311,,2706186140,/path/to/bamfiles/SRX1025890_SRX1025893_SRX1025894_SRX1025897_SRX1025898_SRX1025901/SRX1025894/SRX1025894_hg38.bam
SRP058311,SRX1025905,SRX1025902,IMR90_SRP058311,,2706186140,/path/to/bamfiles/SRX1025902_SRX1025905_SRX1025906_SRX1025908_SRX1025915/SRX1025902/SRX1025902_hg38.bam
SRP058311,SRX1025893,SRX1025890,TC32_SRP058311,,2706186140,/path/to/bamfiles/SRX1025890_SRX1025893_SRX1025894_SRX1025897_SRX1025898_SRX1025901/SRX1025890/SRX1025890_hg38.bam
SRP058311,SRX1025915,SRX1025906,U2OS_SRP058311_DMSO_EV,,2706186140,/path/to/bamfiles/SRX1025902_SRX1025905_SRX1025906_SRX1025908_SRX1025915/SRX1025906/SRX1025906_hg38.bam
SRP058311,SRX1025915,SRX1025908,U2OS_SRP058311_DMSO_siCTR,,2706186140,/path/to/bamfiles/SRX1025902_SRX1025905_SRX1025906_SRX1025908_SRX1025915/SRX1025908/SRX1025908_hg38.bam
SRP059800,,SRX1070682,K562_SRP059800,,2815435213,/path/to/bamfiles/SRX1070678_79_SRX1070682/SRX1070682/SRX1070682_hg38.bam
SRP059800,,SRX1070678,NT2_SRP059800_res_enz1,,2706186140,/path/to/bamfiles/SRX1070678_79_SRX1070682/SRX1070678/SRX1070678_hg38.bam
SRP059800,,SRX1070679,NT2_SRP059800_res_enz2,,2706186140,/path/to/bamfiles/SRX1070678_79_SRX1070682/SRX1070679/SRX1070679_hg38.bam
SRP090328,SRX2187015,SRX2187023,SHS5Y5_SRP090328,SRX2187023_SRX2187024,2706186140,/path/to/bamfiles/SRX2187015_SRX2187016_SRX2187023_SRX2187024/SRX2187023/SRX2187023_hg38.bam
SRP090328,SRX2187016,SRX2187024,SHS5Y5_SRP090328,SRX2187023_SRX2187024,2706186140,/path/to/bamfiles/SRX2187015_SRX2187016_SRX2187023_SRX2187024/SRX2187024/SRX2187024_hg38.bam
SRP095885,SRX2455188,SRX2455191,JURKAT_SRP095885,,2677388039,/path/to/bamfiles/SRX2455188_SRX2455191/SRX2455191/SRX2455191_hg38.bam
SRP096360,SRX2481504,SRX2481503,Hela_seq1_SRP096360,,2874271596,/path/to/bamfiles/SRX2481503_SRX2481504/SRX2481503/SRX2481503_hg38.bam
SRP096360,SRX2918367,SRX2918366,Hela_seq2_SRP096360,,2874271596,/path/to/bamfiles/SRX2918366_67_SRX3084730_31/SRX2918366/SRX2918366_hg38.bam
SRP101967,,SRX2642944,BE_NC3_SRP101967,,2706186140,/path/to/bamfiles/SRX2642944_50/SRX2642944/SRX2642944_hg38.bam
SRP101967,,SRX2642948,BE_NC4_SRP101967,,2706186140,/path/to/bamfiles/SRX2642944_50/SRX2642948/SRX2642948_hg38.bam
SRP101967,,SRX2642937,LP_NC1_SRP101967,,2706186140,/path/to/bamfiles/SRX2642937_39_SRX2642941_43/SRX2642937/SRX2642937_hg38.bam
SRP101967,,SRX2642941,LP_NC2_SRP101967,,2706186140,/path/to/bamfiles/SRX2642937_39_SRX2642941_43/SRX2642941/SRX2642941_hg38.bam
SRP101967,,SRX2642945,LP_NC3_SRP101967,,2706186140,/path/to/bamfiles/SRX2642944_50/SRX2642945/SRX2642945_hg38.bam
